,level_0,index,id,time,SAT_M,SAT_V,choice,outcome,tuition,quality,hs_GPA,univ_type,type,A_N,A_S,augmented,choicecat,unskilled,hp,skilled1,skilled2,skilled3,tmajor,terminalGPA,state,skilledsector,tdropout,cumulativeGPA,tGPA,univ_type_num,numeric_state,dSTEM,col_type,numeric_choice,ed_emax_mapping,skilled_emax_mapping_abridged,unskilled_emax_mapping,lastchoiceraw,lastchoice,prior_skilled
22,22,22,2,6,650,550,hp,0.0,-3.23945296942577,1,340,priv_rel,hp,0,0,0,hp,0,0,0,0,1,nonSTEM,312.2797546363625,skilled,,-1,312.2797546363625,320,2,7,0,0,2,230,19,0,6.0,6,2
23,23,23,2,7,650,550,skilled2,2.908217077089267,-3.23945296942577,1,340,priv_rel,lwage,0,0,0,skilled2,0,1,0,0,1,nonSTEM,312.2797546363625,skilled,1,-1,312.2797546363625,320,2,7,0,2,5,230,19,0,2.0,2,3
24,24,24,2,8,650,550,skilled2,3.254538424461086,-3.23945296942577,1,340,priv_rel,lwage,0,0,0,skilled2,0,1,0,1,1,nonSTEM,312.2797546363625,skilled,1,-1,312.2797546363625,320,2,7,0,2,5,230,19,0,5.0,5,1
25,25,25,2,9,650,550,skilled2,3.0474627427194583,-3.23945296942577,1,340,priv_rel,lwage,0,0,0,skilled2,0,1,0,2,1,nonSTEM,312.2797546363625,skilled,1,-1,312.2797546363625,320,2,7,0,2,5,230,19,0,5.0,5,1
26,26,26,2,10,650,550,skilled2,3.5466389130128495,-3.23945296942577,1,340,priv_rel,lwage,0,0,0,skilled2,0,1,0,3,1,nonSTEM,312.2797546363625,skilled,1,-1,312.2797546363625,320,2,7,0,2,5,230,19,0,5.0,5,1
27,27,27,2,11,650,550,skilled2,3.2706028857674063,-3.23945296942577,1,340,priv_rel,lwage,0,0,0,skilled2,0,1,0,4,1,nonSTEM,312.2797546363625,skilled,1,-1,312.2797546363625,320,2,7,0,2,5,230,19,0,5.0,5,1
28,28,28,2,12,650,550,skilled3,3.269472221080427,-3.23945296942577,1,340,priv_rel,lwage,0,0,0,skilled3,0,1,0,5,1,nonSTEM,312.2797546363625,skilled,2,-1,312.2797546363625,320,2,7,0,2,6,230,19,0,5.0,5,1
29,29,29,2,13,650,550,skilled2,3.662356436983804,-3.23945296942577,1,340,priv_rel,lwage,0,0,0,skilled2,0,1,0,5,2,nonSTEM,312.2797546363625,skilled,1,-1,312.2797546363625,320,2,7,0,2,5,230,19,0,6.0,6,2
30,30,30,2,14,650,550,skilled2,4.291639886560606,-3.23945296942577,1,340,priv_rel,lwage,0,0,0,skilled2,0,1,0,6,2,nonSTEM,312.2797546363625,skilled,1,-1,312.2797546363625,320,2,7,0,2,5,230,19,0,5.0,5,1
31,31,31,2,15,650,550,skilled2,4.67282080317092,-3.23945296942577,1,340,priv_rel,lwage,0,0,0,skilled2,0,1,0,7,2,nonSTEM,312.2797546363625,skilled,1,-1,312.2797546363625,320,2,7,0,2,5,230,19,0,5.0,5,1
32,32,32,3,1,450,550,nonSTEM,356.89510947471,4.45795441693832,1,330,public,grade,0,0,0,nonSTEM,0,0,0,0,0,dropout,0.0,t1,,2,356.89510947471,0,0,6,0,1,1,166,-1,1,,-1,-1
33,33,33,3,2,450,550,hp,0.0,4.45795441693832,1,330,public,hp,0,0,0,hp,0,0,0,0,0,dropout,0.0,t1nonSTEM,,2,356.89510947471,0,0,1,0,0,2,166,-1,1,1.0,1,-1
34,34,34,4,1,580,560,STEM,291.751419768577,-1.5721951455566698,0,360,forprofit,grade,0,0,0,STEM,0,0,0,0,0,nonSTEM,324.18785494214427,t1,,-1,291.751419768577,320,3,6,0,1,0,264,-1,0,,-1,-1
35,35,35,4,2,580,560,STEM,290.0,-1.5721951455566698,0,360,forprofit,grade,0,0,0,STEM,0,0,0,0,0,nonSTEM,324.18785494214427,t1STEM,,-1,290.87570988428854,320,3,0,0,1,0,264,-1,0,0.0,0,-1
36,36,36,4,3,580,560,nonSTEM,345.0,-1.5721951455566698,0,360,forprofit,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,324.18785494214427,STEMReqMet,,-1,308.917139922859,320,3,2,0,1,1,264,-1,0,0.0,0,-1
37,37,37,4,4,580,560,nonSTEM,370.0,-1.5721951455566698,0,360,forprofit,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,324.18785494214427,t3nonSTEM,,-1,324.18785494214427,320,3,5,0,1,1,264,-1,0,1.0,1,-1
38,38,38,4,5,580,560,skilled3,2.66303959773486,-1.5721951455566698,0,360,forprofit,lwage,0,0,0,skilled3,0,0,0,0,0,nonSTEM,324.18785494214427,skilled,2,-1,324.18785494214427,320,3,7,0,2,6,264,3,0,1.0,1,-1
39,39,39,4,6,580,560,skilled3,2.507372147498633,-1.5721951455566698,0,360,forprofit,lwage,0,0,0,skilled3,0,0,0,0,1,nonSTEM,324.18785494214427,skilled,2,-1,324.18785494214427,320,3,7,0,2,6,264,3,0,6.0,6,2
40,40,40,4,7,580,560,skilled3,2.8155671003951346,-1.5721951455566698,0,360,forprofit,lwage,0,0,0,skilled3,0,0,0,0,2,nonSTEM,324.18785494214427,skilled,2,-1,324.18785494214427,320,3,7,0,2,6,264,3,0,6.0,6,2
41,41,41,4,8,580,560,skilled3,3.4942565509459573,-1.5721951455566698,0,360,forprofit,lwage,0,0,0,skilled3,0,0,0,0,3,nonSTEM,324.18785494214427,skilled,2,-1,324.18785494214427,320,3,7,0,2,6,264,3,0,6.0,6,2
42,42,42,4,9,580,560,skilled3,3.8906534111231856,-1.5721951455566698,0,360,forprofit,lwage,0,0,0,skilled3,0,0,0,0,4,nonSTEM,324.18785494214427,skilled,2,-1,324.18785494214427,320,3,7,0,2,6,264,3,0,6.0,6,2
43,43,43,4,10,580,560,skilled3,3.354749921707871,-1.5721951455566698,0,360,forprofit,lwage,0,0,0,skilled3,0,0,0,0,5,nonSTEM,324.18785494214427,skilled,2,-1,324.18785494214427,320,3,7,0,2,6,264,3,0,6.0,6,2
44,44,44,4,11,580,560,skilled3,3.524282808238785,-1.5721951455566698,0,360,forprofit,lwage,0,0,0,skilled3,0,0,0,0,6,nonSTEM,324.18785494214427,skilled,2,-1,324.18785494214427,320,3,7,0,2,6,264,3,0,6.0,6,2
45,45,45,4,12,580,560,skilled3,3.180168743578346,-1.5721951455566698,0,360,forprofit,lwage,0,0,0,skilled3,0,0,0,0,7,nonSTEM,324.18785494214427,skilled,2,-1,324.18785494214427,320,3,7,0,2,6,264,3,0,6.0,6,2
46,46,46,4,13,580,560,skilled3,4.000659488555414,-1.5721951455566698,0,360,forprofit,lwage,0,0,0,skilled3,0,0,0,0,8,nonSTEM,324.18785494214427,skilled,2,-1,324.18785494214427,320,3,7,0,2,6,264,3,0,6.0,6,2
47,47,47,4,14,580,560,skilled2,3.92468986699662,-1.5721951455566698,0,360,forprofit,lwage,0,0,0,skilled2,0,0,0,0,9,nonSTEM,324.18785494214427,skilled,1,-1,324.18785494214427,320,3,7,0,2,5,264,3,0,6.0,6,2
48,48,48,4,15,580,560,skilled2,3.412761473746798,-1.5721951455566698,0,360,forprofit,lwage,0,0,0,skilled2,0,0,0,1,9,nonSTEM,324.18785494214427,skilled,1,-1,324.18785494214427,320,3,7,0,2,5,264,3,0,5.0,5,1
49,49,49,5,1,550,650,nonSTEM,367.703701970856,5.487078584964911,1,270,priv_rel,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,311.925925492714,t1,,-1,367.703701970856,320,2,6,0,1,1,53,-1,0,,-1,-1
50,50,50,5,2,550,650,nonSTEM,325.0,5.487078584964911,1,270,priv_rel,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,311.925925492714,t1nonSTEM,,-1,346.351850985428,320,2,1,0,1,1,53,-1,0,1.0,1,-1
51,51,51,5,3,550,650,nonSTEM,260.0,5.487078584964911,1,270,priv_rel,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,311.925925492714,STEMReqNotMet,,-1,317.56790065695196,320,2,3,0,1,1,53,-1,0,1.0,1,-1
52,52,52,5,4,550,650,nonSTEM,295.0,5.487078584964911,1,270,priv_rel,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,311.925925492714,t3nonSTEM,,-1,311.925925492714,320,2,5,0,1,1,53,-1,0,1.0,1,-1
53,53,53,5,5,550,650,skilled2,2.3659367265843567,5.487078584964911,1,270,priv_rel,lwage,0,0,0,skilled2,0,0,0,0,0,nonSTEM,311.925925492714,skilled,1,-1,311.925925492714,320,2,7,0,2,5,53,19,0,1.0,1,-1
54,54,54,5,6,550,650,skilled2,3.4617689723590375,5.487078584964911,1,270,priv_rel,lwage,0,0,0,skilled2,0,0,0,1,0,nonSTEM,311.925925492714,skilled,1,-1,311.925925492714,320,2,7,0,2,5,53,19,0,5.0,5,1
55,55,55,5,7,550,650,skilled2,3.0974740523457447,5.487078584964911,1,270,priv_rel,lwage,0,0,0,skilled2,0,0,0,2,0,nonSTEM,311.925925492714,skilled,1,-1,311.925925492714,320,2,7,0,2,5,53,19,0,5.0,5,1
56,56,56,5,8,550,650,skilled2,3.5277252098912344,5.487078584964911,1,270,priv_rel,lwage,0,0,0,skilled2,0,0,0,3,0,nonSTEM,311.925925492714,skilled,1,-1,311.925925492714,320,2,7,0,2,5,53,19,0,5.0,5,1
57,57,57,5,9,550,650,skilled2,3.329447289651549,5.487078584964911,1,270,priv_rel,lwage,0,0,0,skilled2,0,0,0,4,0,nonSTEM,311.925925492714,skilled,1,-1,311.925925492714,320,2,7,0,2,5,53,19,0,5.0,5,1
58,58,58,5,10,550,650,skilled2,3.602579342614417,5.487078584964911,1,270,priv_rel,lwage,0,0,0,skilled2,0,0,0,5,0,nonSTEM,311.925925492714,skilled,1,-1,311.925925492714,320,2,7,0,2,5,53,19,0,5.0,5,1
59,59,59,5,11,550,650,skilled2,4.226074566785629,5.487078584964911,1,270,priv_rel,lwage,0,0,0,skilled2,0,0,0,6,0,nonSTEM,311.925925492714,skilled,1,-1,311.925925492714,320,2,7,0,2,5,53,19,0,5.0,5,1
60,60,60,5,12,550,650,skilled3,3.6901303767315596,5.487078584964911,1,270,priv_rel,lwage,0,0,0,skilled3,0,0,0,7,0,nonSTEM,311.925925492714,skilled,2,-1,311.925925492714,320,2,7,0,2,6,53,19,0,5.0,5,1
61,61,61,5,13,550,650,skilled2,3.5936921456446944,5.487078584964911,1,270,priv_rel,lwage,0,0,0,skilled2,0,0,0,7,1,nonSTEM,311.925925492714,skilled,1,-1,311.925925492714,320,2,7,0,2,5,53,19,0,6.0,6,2
62,62,62,5,14,550,650,skilled2,4.173858766764481,5.487078584964911,1,270,priv_rel,lwage,0,0,0,skilled2,0,0,0,8,1,nonSTEM,311.925925492714,skilled,1,-1,311.925925492714,320,2,7,0,2,5,53,19,0,5.0,5,1
63,63,63,5,15,550,650,skilled2,3.4126105493553527,5.487078584964911,1,270,priv_rel,lwage,0,0,0,skilled2,0,0,0,9,1,nonSTEM,311.925925492714,skilled,1,-1,311.925925492714,320,2,7,0,2,5,53,19,0,5.0,5,1
64,64,64,6,1,750,750,STEM,281.014264814999,9.16908636294844,1,350,priv_rel,grade,0,0,0,STEM,0,0,0,0,0,nonSTEM,347.75356620374976,t1,,-1,281.014264814999,340,2,6,0,1,0,6,-1,0,,-1,-1
65,65,65,6,2,750,750,nonSTEM,355.0,9.16908636294844,1,350,priv_rel,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,347.75356620374976,t1STEM,,-1,318.0071324074995,340,2,0,0,1,1,6,-1,0,0.0,0,-1
66,66,66,6,3,750,750,nonSTEM,355.0,9.16908636294844,1,350,priv_rel,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,347.75356620374976,STEMReqMet,,-1,330.3380882716663,340,2,2,0,1,1,6,-1,0,1.0,1,-1
67,67,67,6,4,750,750,nonSTEM,400.0,9.16908636294844,1,350,priv_rel,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,347.75356620374976,t3nonSTEM,,-1,347.75356620374976,340,2,5,0,1,1,6,-1,0,1.0,1,-1
68,68,68,6,5,750,750,skilled3,2.74526329524196,9.16908636294844,1,350,priv_rel,lwage,0,0,0,skilled3,0,0,0,0,0,nonSTEM,347.75356620374976,skilled,2,-1,347.75356620374976,340,2,7,0,2,6,6,21,0,1.0,1,-1
69,69,69,6,6,750,750,skilled2,3.985921692526995,9.16908636294844,1,350,priv_rel,lwage,0,0,0,skilled2,0,0,0,0,1,nonSTEM,347.75356620374976,skilled,1,-1,347.75356620374976,340,2,7,0,2,5,6,21,0,6.0,6,2
70,70,70,6,7,750,750,skilled2,3.140557033301114,9.16908636294844,1,350,priv_rel,lwage,0,0,0,skilled2,0,0,0,1,1,nonSTEM,347.75356620374976,skilled,1,-1,347.75356620374976,340,2,7,0,2,5,6,21,0,5.0,5,1
71,71,71,6,8,750,750,skilled2,3.98560388370927,9.16908636294844,1,350,priv_rel,lwage,0,0,0,skilled2,0,0,0,2,1,nonSTEM,347.75356620374976,skilled,1,-1,347.75356620374976,340,2,7,0,2,5,6,21,0,5.0,5,1
72,72,72,6,9,750,750,skilled2,3.75629875847995,9.16908636294844,1,350,priv_rel,lwage,0,0,0,skilled2,0,0,0,3,1,nonSTEM,347.75356620374976,skilled,1,-1,347.75356620374976,340,2,7,0,2,5,6,21,0,5.0,5,1
73,73,73,6,10,750,750,skilled2,3.331745897190315,9.16908636294844,1,350,priv_rel,lwage,0,0,0,skilled2,0,0,0,4,1,nonSTEM,347.75356620374976,skilled,1,-1,347.75356620374976,340,2,7,0,2,5,6,21,0,5.0,5,1
74,74,74,6,11,750,750,skilled2,3.6902742221745557,9.16908636294844,1,350,priv_rel,lwage,0,0,0,skilled2,0,0,0,5,1,nonSTEM,347.75356620374976,skilled,1,-1,347.75356620374976,340,2,7,0,2,5,6,21,0,5.0,5,1
75,75,75,6,12,750,750,skilled2,4.186032117357664,9.16908636294844,1,350,priv_rel,lwage,0,0,0,skilled2,0,0,0,6,1,nonSTEM,347.75356620374976,skilled,1,-1,347.75356620374976,340,2,7,0,2,5,6,21,0,5.0,5,1
76,76,76,6,13,750,750,skilled2,5.00717475790277,9.16908636294844,1,350,priv_rel,lwage,0,0,0,skilled2,0,0,0,7,1,nonSTEM,347.75356620374976,skilled,1,-1,347.75356620374976,340,2,7,0,2,5,6,21,0,5.0,5,1
77,77,77,6,14,750,750,skilled2,5.058468253325436,9.16908636294844,1,350,priv_rel,lwage,0,0,0,skilled2,0,0,0,8,1,nonSTEM,347.75356620374976,skilled,1,-1,347.75356620374976,340,2,7,0,2,5,6,21,0,5.0,5,1
78,78,78,6,15,750,750,skilled2,3.9952563854061096,9.16908636294844,1,350,priv_rel,lwage,0,0,0,skilled2,0,0,0,9,1,nonSTEM,347.75356620374976,skilled,1,-1,347.75356620374976,340,2,7,0,2,5,6,21,0,5.0,5,1
79,79,79,7,1,550,450,nonSTEM,341.563084425857,1.5220540624775498,0,240,priv_nonrel,grade,0,0,0,nonSTEM,0,0,0,0,0,STEM,284.1407711064643,t1,,-1,341.563084425857,280,1,6,1,1,1,197,-1,0,,-1,-1
80,80,80,7,2,550,450,STEM,215.0,1.5220540624775498,0,240,priv_nonrel,grade,0,0,0,STEM,0,0,0,0,0,STEM,284.1407711064643,t1nonSTEM,,-1,278.2815422129285,280,1,1,1,1,0,197,-1,0,1.0,1,-1
81,81,81,7,3,550,450,STEM,245.0,1.5220540624775498,0,240,priv_nonrel,grade,0,0,0,STEM,0,0,0,0,0,STEM,284.1407711064643,STEMReqMet,,-1,267.187694808619,280,1,2,1,1,0,197,-1,0,0.0,0,-1
82,82,82,7,4,550,450,STEM,335.0,1.5220540624775498,0,240,priv_nonrel,grade,0,0,0,STEM,0,0,0,0,0,STEM,284.1407711064643,t3STEM,,-1,284.1407711064643,280,1,4,1,1,0,197,-1,0,0.0,0,-1
83,83,83,7,5,550,450,skilled3,2.4905455305472675,1.5220540624775498,0,240,priv_nonrel,lwage,0,0,0,skilled3,0,0,0,0,0,STEM,284.1407711064643,skilled,2,-1,284.1407711064643,280,1,7,1,2,6,197,13,0,0.0,0,-1
84,84,84,7,6,550,450,skilled3,2.3907233743873486,1.5220540624775498,0,240,priv_nonrel,lwage,0,0,0,skilled3,0,0,0,0,1,STEM,284.1407711064643,skilled,2,-1,284.1407711064643,280,1,7,1,2,6,197,13,0,6.0,6,2
85,85,85,7,7,550,450,skilled3,3.084407368805948,1.5220540624775498,0,240,priv_nonrel,lwage,0,0,0,skilled3,0,0,0,0,2,STEM,284.1407711064643,skilled,2,-1,284.1407711064643,280,1,7,1,2,6,197,13,0,6.0,6,2
86,86,86,7,8,550,450,skilled2,2.439527516729452,1.5220540624775498,0,240,priv_nonrel,lwage,0,0,0,skilled2,0,0,0,0,3,STEM,284.1407711064643,skilled,1,-1,284.1407711064643,280,1,7,1,2,5,197,13,0,6.0,6,2
87,87,87,7,9,550,450,skilled1,3.34311501230771,1.5220540624775498,0,240,priv_nonrel,lwage,0,0,0,skilled1,0,0,0,1,3,STEM,284.1407711064643,skilled,0,-1,284.1407711064643,280,1,7,1,2,4,197,13,0,5.0,5,1
88,88,88,7,10,550,450,skilled1,2.9801062622618657,1.5220540624775498,0,240,priv_nonrel,lwage,0,0,0,skilled1,0,0,1,1,3,STEM,284.1407711064643,skilled,0,-1,284.1407711064643,280,1,7,1,2,4,197,13,0,4.0,4,0
89,89,89,7,11,550,450,skilled1,4.289103425871843,1.5220540624775498,0,240,priv_nonrel,lwage,0,0,0,skilled1,0,0,2,1,3,STEM,284.1407711064643,skilled,0,-1,284.1407711064643,280,1,7,1,2,4,197,13,0,4.0,4,0
90,90,90,7,12,550,450,skilled1,3.711752381127384,1.5220540624775498,0,240,priv_nonrel,lwage,0,0,0,skilled1,0,0,3,1,3,STEM,284.1407711064643,skilled,0,-1,284.1407711064643,280,1,7,1,2,4,197,13,0,4.0,4,0
91,91,91,7,13,550,450,skilled1,4.2922605931401625,1.5220540624775498,0,240,priv_nonrel,lwage,0,0,0,skilled1,0,0,4,1,3,STEM,284.1407711064643,skilled,0,-1,284.1407711064643,280,1,7,1,2,4,197,13,0,4.0,4,0
92,92,92,7,14,550,450,skilled1,3.8239910515232114,1.5220540624775498,0,240,priv_nonrel,lwage,0,0,0,skilled1,0,0,5,1,3,STEM,284.1407711064643,skilled,0,-1,284.1407711064643,280,1,7,1,2,4,197,13,0,4.0,4,0
93,93,93,7,15,550,450,skilled1,3.8607275580413556,1.5220540624775498,0,240,priv_nonrel,lwage,0,0,0,skilled1,0,0,6,1,3,STEM,284.1407711064643,skilled,0,-1,284.1407711064643,280,1,7,1,2,4,197,13,0,4.0,4,0
94,94,94,8,1,580,570,nonSTEM,332.037504155159,4.84335208558823,0,240,forprofit,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,270.50937603878975,t1,,-1,332.037504155159,280,3,6,0,1,1,129,-1,0,,-1,-1
95,95,95,8,2,580,570,nonSTEM,235.0,4.84335208558823,0,240,forprofit,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,270.50937603878975,t1nonSTEM,,-1,283.5187520775795,280,3,1,0,1,1,129,-1,0,1.0,1,-1
96,96,96,8,3,580,570,nonSTEM,260.0,4.84335208558823,0,240,forprofit,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,270.50937603878975,STEMReqNotMet,,-1,275.67916805171967,280,3,3,0,1,1,129,-1,0,1.0,1,-1
97,97,97,8,4,580,570,nonSTEM,255.0,4.84335208558823,0,240,forprofit,grade,0,0,0,nonSTEM,0,0,0,0,0,nonSTEM,270.50937603878975,t3nonSTEM,,-1,270.50937603878975,280,3,5,0,1,1,129,-1,0,1.0,1,-1
98,98,98,8,5,580,570,hp,0.0,4.84335208558823,0,240,forprofit,hp,0,0,0,hp,0,0,0,0,0,nonSTEM,270.50937603878975,skilled,,-1,270.50937603878975,280,3,7,0,0,2,129,29,0,1.0,1,-1
99,99,99,8,6,580,570,hp,0.0,4.84335208558823,0,240,forprofit,hp,0,0,0,hp,0,1,0,0,0,nonSTEM,270.50937603878975,skilled,,-1,270.50937603878975,280,3,7,0,0,2,129,29,0,2.0,2,3
100,100,100,8,7,580,570,skilled3,2.3090280506313072,4.84335208558823,0,240,forprofit,lwage,0,0,0,skilled3,0,2,0,0,0,nonSTEM,270.50937603878975,skilled,2,-1,270.50937603878975,280,3,7,0,2,6,129,29,0,2.0,2,3
101,101,101,8,8,580,570,skilled3,3.3945156271364167,4.84335208558823,0,240,forprofit,lwage,0,0,0,skilled3,0,2,0,0,1,nonSTEM,270.50937603878975,skilled,2,-1,270.50937603878975,280,3,7,0,2,6,129,29,0,6.0,6,2
102,102,102,8,9,580,570,skilled3,3.0836001538455977,4.84335208558823,0,240,forprofit,lwage,0,0,0,skilled3,0,2,0,0,2,nonSTEM,270.50937603878975,skilled,2,-1,270.50937603878975,280,3,7,0,2,6,129,29,0,6.0,6,2
103,103,103,8,10,580,570,hp,0.0,4.84335208558823,0,240,forprofit,hp,0,0,0,hp,0,2,0,0,3,nonSTEM,270.50937603878975,skilled,,-1,270.50937603878975,280,3,7,0,0,2,129,29,0,6.0,6,2
104,104,104,8,11,580,570,hp,0.0,4.84335208558823,0,240,forprofit,hp,0,0,0,hp,0,3,0,0,3,nonSTEM,270.50937603878975,skilled,,-1,270.50937603878975,280,3,7,0,0,2,129,29,0,2.0,2,3
105,105,105,8,12,580,570,skilled1,3.483204457093,4.84335208558823,0,240,forprofit,lwage,0,0,0,skilled1,0,4,0,0,3,nonSTEM,270.50937603878975,skilled,0,-1,270.50937603878975,280,3,7,0,2,4,129,29,0,2.0,2,3
